요일,캠퍼스 ,건물,식당,시간대,가격,메뉴,칼로리
월요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 부대찌개, 스크램블에그, 숙주무침, 건파래볶음 ",680
월요일,서울캠퍼스,310관,참슬기식당,중식,4500,"(특식) 감자다시마국, 고등어무조림, 미트볼라따뚜이, 숙주무침, 찐순대,알타리김치 ",780
월요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 고추장수제비탕, 계란찜, 쫑상추겉절이, 김치",950
월요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품2) 갓김치부대찌개, 계란찜, 쫑상추겉절이, 김치",843
월요일,서울캠퍼스,308관,생활관식당,중식,4000,(일품3) 소이머쉬룸파스타,894
월요일,서울캠퍼스,308관 ,생활관식당,중식,2000,(일품4) 오징어입튀김,360
월요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 소고기우엉볶음, 밥, 만두강정, 콩나물무침, 장국, 단무지",870
월요일 ,안성캠퍼스,707관,카우잇츠,중식,4500,"(특식) 감자다시마국, 고등어무조림, 미트볼라따뚜이, 숙주무침, 찐순대,알타리김치",780
월요일,안성캠퍼스,707관,카우잇츠,중식,3200,"(일품1) 부대찌개, 스크램블에그, 숙주무침, 건파래볶음",680
월요일 ,안성캠퍼스,707관,카우잇츠,석식,3200,"(일품1)닭곰탕, 야채비빔만두, 부추무침,깍두기",780
화요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 대만식돼지고기덮밥, 고로케케찹, 망고푸딩젤리, 단무지, 미소국",810
화요일,서울캠퍼스,310관,참슬기식당,중식,4500,"(특식) 홍합탕, 깐풍기, 메추리알조림, 해파리냉채, 마카로니샐러드, 깍두기",760
화요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 닭곰탕, 핫도그, 채소유자겉절이, 김치",825
화요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품2) 장조림김치버터밥, 핫도그, 채소유자겉절이, 김치",943
화요일,서울캠퍼스,308관,생활관식당,중식,4000,"(일품3) 채소백짬뽕, 가지탕수",854
화요일,서울캠퍼스,308관,생활관식당,중식,2000,(일품4) 찹쌀꿔바로우,350
화요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 수제비칼국수, 고기포자찐만두, 단무지, 밥, 허니버터아몬드",800
화요일,안성캠퍼스,707관,카우잇츠,중식,3200,"(일품1) 대만식돼지고기덮밥, 고로케케찹, 망고푸딩젤리, 단무지, 미소국",810
화요일,안성캠퍼스,707관,카우잇츠,중식,4500,"(특식) 홍합탕, 깐풍기, 메추리알조림, 동부묵무침, 해파리냉채, 깍두기",760
화요일,안성캠퍼스,707관,카우잇츠,석식,3200,"(일품1) 뚝배기불고기, 깻잎지, 김치, 요구르트",760
수요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 치즈돈까스, 옥수수스프, 야채샐러드, 단무지",780
